Temperatura maxima x Día,Temperatura minima x Día
48,22
77,53
33,13
88,68
87,77
77,62
78,37
52,45
66,5
86,64
88,62
59,2
62,19
56,26
89,65
72,48
57,2
80,5
67,56
67,48
73,58
58,29
78,6
86,6
60,3
70,47
59,35
46,35
51,41
44,34
46,33
49,15
63,3
88,61
71,51
93,54
22,1
68,31
39,33
67,5
71,52
75,43
92,53
72,5
85,71
88,66
50,28
86,8
30,13
88,66
84,63
90,68
36,8
81,66
51,28
82,51
25,16
74,58
87,67
97,76
90,71
28,2
50,39
55,39
78,68
19,-1
57,29
61,27
63,43
69,39
83,62
68,52
95,75
49,19
75,56
97,74
51,22
84,69
56,47
64,29
50,39
64,51
93,68
96,61
85,55
64,45
71,6
38,35
67,5
40,32
101,72
71,27
83,62
47,23
90,68
62,52
81,66
86,66
59,39
29,3
86,62
57,33
83,75
72,28
75,49
73,44
49,41
48,42
103,59
83,64
74,57
79,63
88,61
91,73
39,29
57,53
92,71
64,39
59,36
69,22
74,56
83,61
57,49
53,41
21,13
47,28
67,34
65,35
50,42
84,7
55,29
94,73
69,56
70,5
58,45
73,59
93,44
55,34
83,6
46,39
90,75
92,74
62,48
83,59
59,48
65,34
81,62
24,1
88,63
79,59
73,54
46,35
31,14
55,24
73,24
83,71
84,64
41,21
93,66
95,7
70,33
72,47
60,33
26,-2
68,53
24,7
94,72
76,43
73,42
86,73
81,35
29,-5
41,3
59,27
79,51
68,55
68,55
89,58
37,18
42,24
64,35
75,45
80,54
69,49
94,64
58,51
62,41
106,7
94,54
34,14
75,57
86,71
52,32
83,68
75,62
71,61
67,39
91,57
56,31
83,4
56,26
71,46
37,33
83,49
31,15
49,1
82,6
64,38
82,57
56,36
59,48
85,65
37,28
46,43
85,5
83,51
85,63
46,41
49,21
77,59
89,72
35,15
71,57
62,38
81,61
76,6
94,71
79,65
53,37
75,53
72,55
66,49
73,6
68,47
84,65
64,38
68,41
87,53
84,56
90,75
101,81
46,28
76,45
62,44
86,7
74,6
78,54
77,42
76,51
18,2
86,7
58,36
37,21
80,54
72,45
80,65
79,67
58,38
91,71
46,32
80,53
68,46
34,21
52,37
72,57
76,44
90,6
60,42
104,65
78,54
86,62
46,21
100,63
79,66
89,64
70,43
76,52
73,51
68,39
75,67
73,55
70,6
94,72
49,23
37,18
71,35
87,69
88,71
68,59
54,31
51,38
62,39
27,8
68,61
76,55
86,64
83,64
83,42
73,47
50,33
80,69
77,58
75,46
85,65
80,59
53,33
33,25
98,67
50,45
71,42
60,54
49,34
72,61
91,72
18,-5
72,52
88,58
89,62
58,44
86,6
37,29
62,44
85,39
54,36
81,48
67,39
78,53
33,28
17,-17
95,78
68,45
50,27
71,51
62,35
79,52
84,64
70,39
88,66
87,63
61,33
99,72
67,38
66,54
81,48
58,34
82,55
94,71
65,43
60,41
76,56
72,27
63,38
65,52
66,55
32
42,29
62,37
59,51
79,64
88,55
87,7
74,54
60,55
47,29
54,4
58,38
69,57
56,38
90,76
68,62
86,46
85,68
84,62
87,66
74,29
25,15
59,34
89,66
57,4
59,49
81,62
85,51
66,55
26,18
88,74
39,38
55,44
96,72
16
79,53
83,59
50,29
72,52
101,76
61,32
91,7
25,12
70,62
53,28
50,3
86,69
45,27
53,31
75,51
92,57
90,64
83,78
77,66
93,74
48,34
50,43
97,49
74,55
81,68
54,42
81,65
71,41
94,69
36,6
48,31
32,26
63,31
68,42
79,56
56,29
58,47
88,73
50,28
55,44
68,6
67,37
42,28
56,39
80,63
88,7
85,68
61,28
71,46
73,48
94,7
81,63
75,55
65,42
74,68
83,66
44,14
42,36
81,55
73,4
85,49
72,58
76,57
67,4
90,67
65,51
98,55
37,-5
80,67
67,57
84,7
68,43
31,26
89,51
61,34
73,62
79,37
67,46
77,49
70,51
94,69
91,73
57,38
80,56
72,52
89,69
72,42
68,55
78,69
80,74
90,69
36,8
84,54
49,27
93,8
77,54
81,75
72,57
47,23
75,52
74,52
83,69
72,46
76,53
62,53
88,61
24,18
58,34
7,2
82,55
63,35
52,42
96,72
12,1
53,23
85,63
44,28
94,7
72,37
97,7
52,39
70,23
52,41
88,72
90,62
44,18
101,68
100,62
77,64
38,34
85,67
60,38
79,66
76,4
76,49
47,24
82,5
87,65
52,37
96,73
46,24
78,55
35,28
89,77
41,19
11,-8
41,-1
24,-6
90,54
66,44
69,5
91,54
71,45
89,7
51,4
40,36
38,32
75,52
45,21
58,39
48,43
57,26
92,66
57,37
38,26
65,45
50,34
36,32
65,52
75,48
89,75
29,6
63,52
95,76
77,59
53,45
81,62
88,67
86,73
92,69
66,5
41,1
81,53
101,71
75,47
1,-17
86,45
30,22
101,71
31,19
88,78
31,22
90,68
69,46
59,38
63,49
76,55
54,46
57,48
70,46
61,42
95,6
87,65
92,74
78,58
62,55
69,5
84,62
69,44
71,51
60,45
105,75
61,4
18,-20
91,71
76,66
36,21
68,59
96,69
92,77
69,3
38,25
69,41
79,43
27,4
84,37
46,27
100,76
62,41
84,64
41,28
15,3
95,78
13
82,45
77,63
50,3
43,29
36,2
82,46
51,27
63,46
17,-16
27,21
91,72
73,66
54,22
49,44
56,33
78,66
54,31
75,29
56,34
18,1
80,54
69,29
25,5
80,6
73,61
65,33
47,2
78,52
96,65
89,67
90,57
84,7
50,1
65,21
55,4
32,12
64,41
74,53
62,53
84,54
41,17
37,28
93,68
45,35
66,51
74,46
70,44
70,3
56,3
48,29
71,49
81,67
82,64
65,5
61,23
91,77
59,24
75,25
97,71
82,47
94,68
68,48
89,76
23,5
67,54
66,44
31,5
62,39
89,71
40,11
99,68
80,62
35,28
61,41
81,44
61,4
71,41
71,43
54,23
65,39
98,64
86,54
89,75
57,5
67,44
82,69
77,58
56,35
78,56
48,36
64,37
86,68
93,63
63,32
65,44
67,49
24,6
65,48
63,37
67,45
54,31
24,-6
19,12
85,61
35,31
50,23
46,34
72,5
81,56
50,32
89,68
50,37
70,53
87,79
44,35
79,49
59,46
76,43
69,32
91,73
60,39
88,58
53,21
83,68
61,38
89,79
88,66
59,28
35,23
79,62
43,37
97,76
69,49
80,45
54,43
94,5
94,68
91,75
81,57
66,32
90,56
83,41
70,49
68,37
105,73
78,65
72,64
63,23
70,61
77,44
88,8
81,68
68,5
42,4
62,46
33,28
88,58
68,32
77,52
75,55
79,48
44,6
54,29
67,57
93,72
64,55
47,34
65,5
72,54
64,56
42,37
61,45
79,53
55,32
56,35
45,35
95,63
16,-20
51,38
87,58
83,66
29,24
71,51
56,27
29,7
52,29
97,76
113,87
109,88
77,59
71,48
48,4
86,69
79,58
80,55
98,77
71,35
94,73
56,45
99,7
67,4
97,74
78,46
96,71
103,78
66,49
54,42
-63
60,29
23,1
21,16
78,34
85,69
63,36
59,52
82,63
78,66
78,56
78,53
90,76
104,81
77,42
71,51
36,11
62,37
88,7
51,33
44,32
66,48
36,8
94,56
56,29
87,77
80,61
87,57
54,47
87,75
70,52
58,39
83,55
83,58
80,64
63,33
71,64
67,52
65,48
34,29
100,75
72,61
71,49
88,63
100,74
64,4
57,26
23,3
69,52
75,5
31,19
80,45
86,61
62,5
50,43
58,16
28,11
25
82,67
80,65
32,14
59,44
98,74
60,24
57,25
62,25
71,57
48,27
80,56
46,32
66,47
22,11
108,81
77,54
48,43
47,33
50,36
64,31
49,36
91,68
82,5
38,3
56,47
69,45
89,53
21,-2
50,39
46,29
82,58
74,58
52,29
75,59
6,-21
49,32
82,53
42,29
82,65
58,35
77,54
70,43
56,41
58,38
11,-1
88,66
32,27
82,46
57,2
86,62
80,38
54,27
56,42
48,25
28,7
90,48
95,76
86,75
87,66
74,52
12
58,29
59,32
65,4
33,14
88,7
75,55
77,51
77,63
73,61
47,42
36,18
7,-6
96,7
90,72
75,34
84,66
41,33
24,4
42,27
84,7
74,34
96,71
54,2
45,11
31,-4
69,49
51,37
85,54
69,42
90,78
59,36
72,34
40,14
69,43
80,63
27,4
51,31
57,33
44,3
83,65
81,58
91,79
77,51
78,47
97,75
99,59
51,35
50,14
9,-6
92,53
60,3
79,59
53,36
85,56
80,64
49,44
77,55
66,36
69,55
94,72
23,-19
51,26
78,54
76,55
78,37
89,65
88,72
103,76
100,75
42,24
83,54
90,46
75,43
84,62
85,67
19,-1
17,1
68,59
69,39
70,4
76,67
34,18
91,8
59,48
72,58
42,22
87,66
51,33
78,54
72,51
82,57
79,53
38,17
56,5
70,46
62,41
94,73
49,43
68,43
84,58
84,73
88,76
82,71
30,9
67,41
40,33
81,72
33,25
74,47
66,26
53,37
72,47
80,56
77,44
56,42
68,46
60,38
74,49
94,56
65,42
85,55
65,53
63,52
83,77
95,71
3,-7
50,32
62,35
74,44
52,43
49,2
34,27
81,46
33,19
79,59
75,58
51,42
77,33
61,48
78,65
86,74
91,68
79,62
54,29
46,37
89,64
47,43
82,55
48,28
91,74
66,43
80,58
53,27
75,52
89,67
39,19
64,35
80,53
56,29
84,55
88,71
39,26
34,19
90,55
88,6
28,21
71,39
72,63
76,54
73,51
65,32
97,74
72,42
90,52
73,57
61,46
87,77
86,67
40,33
36,27
67,53
25,-8
77,63
80,63
43,2
70,38
48,25
28,18
36,32
83,71
80,6
89,74
59,44
92,59
34,15
10,-20
58,3
94,59
37,23
32,27
70,48
63,49
81,68
5,-12
70,46
75,64
66,47
64,23
91,59
45,35
71,48
83,64
97,68
73,42
83,6
84,7
74,58
82,68
92,49
88,5
17,-1
76,53
63,42
87,5
81,52
79,66
73,54
92,7
70,4
83,56
88,63
70,59
39,2
44,33
95,72
93,45
89,76
87,69
84,65
90,76
69,56
63,52
90,57
77,49
47,4
94,69
56,22
39,7
83,56
56,24
34,18
52,28
66,49
77,51
59,54
83,45
46,26
58,36
83,47
20,-8
94,69
99,77
68,54
47,36
79,54
57,46
64,32
87,5
86,54
82,74
79,62
80,56
88,66
64,38
90,7
105,7
66,33
23,6
85,69
87,61
94,69
77,51
90,64
90,8
34,9
46,29
87,63
64,57
70,61
87,64
69,42
92,64
51,27
91,55
32
83,73
45,39
80,69
31,2
75,55
65,54
93,74
87,65
79,47
70,55
48,44
77,59
73,5
86,77
87,69
58,44
74,43
63,16
89,72
90,74
45,13
78,46
92,71
56,39
27,-4
78,42
73,48
40,29
64,51
73,54
74,46
76,51
64,52
63,54
88,73
51,35
59,41
67,58
58,32
40,29
59,33
77,55
72,31
87,74
76,55
60,49
70,52
37,17
97,78
23,13
54,31
52,45
54,17
81,69
48,43
44,27
75,56
71,53
58,28
89,59
83,69
86,62
88,61
76,46
63,32
55,43
111,79
20,-5
69,37
67,57
90,57
84,57
79,58
19,-10
81,49
82,61
53,27
86,72
81,6
43,3
59,56
44,27
73,65
81,64
74,4
73,52
67,33
54,31
76,43
79,4
55,32
11
64,35
62,43
14,3
34,13
74,51
72,51
70,34
50,3
46,37
85,6
87,53
33,29
76,64
55,41
90,7
66,5
49,35
44,2
51,46
84,55
71,5
61,44
76,64
84,68
67,52
55,46
38,3
62,51
29,9
91,79
70,49
66,49
18,-7
72,51
19,2
56,34
42,33
32,27
26,6
73,65
78,6
98,72
37,31
83,73
74,6
42,37
83,57
21,2
96,63
22,2
78,51
40,-15
56,48
48,2
99,73
84,66
56,44
91,56
91,39
77,56
84,68
75,47
34,21
89,73
70,37
78,49
83,55
64,42
81,63
63,5
52,25
53,36
62,5
77,57
65,39
64,4
76,66
84,44
72,41
98,72
95,67
32,12
86,6
77,35
88,46
59,32
115,9
26,13
79,62
96,77
65,42
64,4
87,76
86,71
81,69
61,52
70,56
67,44
82,68
85,43
54,41
69,2
94,73
62,49
97,73
78,48
68,56
57,43
77,63
94,58
69,54
-57
33,19
86,75
36,18
45,27
91,67
62,38
51,45
48,35
77,55
52,43
84,6
49,24
62,29
86,64
60,26
80,58
94,34
64,5
86,71
70,6
92,74
67,5
64,4
58,48
36,25
39,34
39,3
77,69
64,42
83,73
84,43
26,2
82,6
51,4
55,29
95,7
93,64
45,4
67,51
90,61
81,44
99,68
94,57
75,4
55,32
86,77
52,26
32,13
26,-16
92,68
76,65
35,13
67,51
66,52
55,32
82,66
78,62
88,8
51,33
83,64
56,32
63,42
67,4
89,74
26,-6
93,59
4,-19
101,75
47,24
68,29
100,81
38,14
68,51
40,22
77,54
46,22
79,64
104,59
85,37
26,22
77,32
77,39
40,32
56,39
35,16
59,42
58,37
78,5
32,7
58,28
74,54
56,44
82,63
76,62
64,34
80,7
79,54
79,42
39,13
53,21
82,65
68,52
87,54
5,-15
41,37
49,44
51,44
41,31
58,41
34,14
81,63
47,26
94,61
75,48
31,1
86,64
57,36
38,25
95,71
72,54
57,49
63,52
55,47
71,31
77,53
77,37
30,14
74,62
39,17
64,25
85,42
53,25
85,78
73,61
60,32
87,67
68,45
90,72
42,33
76,55
49,43
74,48
54,4
71,39
83,7
69,42
88,57
59,35
37,32
37,32
10,-21
77,47
90,69
73,55
77,53
69,51
72,48
35,17
28,7
14,3
70,36
91,68
43,27
67,53
87,71
56,43
79,55
99,64
89,71
67,45
92,74
46,33
81,62
46,34
83,73
78,68
90,71
60,45
83,59
79,5
58,48
87,63
81,55
79,67
74,52
60,34
54,34
78,39
72,56
62,32
93,61
108,81
66,54
60,36
11
91,54
49,2
82,69
71,65
56,28
88,52
78,42
84,53
57,37
45,13
85,57
61,41
78,46
64,34
53,48
59,47
52,39
59,54
85,67
65,3
31,21
21,5
95,63
69,53
81,58
1,-10
61,41
87,56
20,1
95,73
65,28
72,35
61,53
64,33
67,51
88,73
60,53
64,41
45,31
30,25
78,45
26,2
40,9
53,25
80,67
74,43
49,38
68,33
62,34
93,63
70,42
72,62
73,48
78,55
59,45
61,47
38,18
67,47
64,55
21,7
64,29
78,68
36,21
64,35
75,54
91,73
86,56
66,57
73,31
89,44
53,46
86,74
28,-11
81,55
82,47
49,27
58,28
41,22
95,69
88,59
44,2
52,41
87,67
85,59
94,73
73,62
63,53
67,31
79,54
89,72
68,52
84,57
74,51
79,34
67,58
86,7
81,5
96,7
82,61
88,65
94,71
81,48
31,9
67,5
17,-10
90,7
23,-2
36,2
72,33
91,66
45,37
69,45
96,73
72,46
36,31
78,49
47,31
59,5
79,56
45,39
69,3
73,34
79,61
44,31
95,73
54,25
74,5
57,45
93,63
56,24
20,3
44,18
44,33
45,36
71,53
76,52
83,49
64,5
24,-1
71,5
60,47
65,53
79,56
68,48
84,72
38,33
83,69
62,56
90,65
46,33
94,75
34,2
44,27
79,64
28,17
52,44
51,4
70,58
53,48
42,15
25,1
88,68
55,41
45,9
57,42
57,43
85,63
60,4
68,47
45,17
53,42
20,8
86,59
76,45
73,55
90,61
93,58
58,33
80,61
65,55
20,1
72,61
31,22
82,57
66,53
68,42
58,36
94,73
-22
41,36
